41,RAKESH SHARMA ,SHANGRILLA PUBLIC SCHOOL,,STATE BOARD,700,,,SARWAL JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SHIKSHA NIKETAN,,STATE BOARD,3000,,,JEEWAN NAGAR JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SHRI GURU GOVIND SINGH PUBLIC SCHOOL,,STATE BOARD,1200,,,KUNJAWANI TALAB JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SP HIGH SR SEC SCHOOL,,STATE BOARD,600,,,EXCHANGE ROAD JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SP SMART SCHOOL,,STATE,1000,,,"EXCHANGE ROAD JAMMU",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SPRING DALE ,,STATE,1200,,,"RAMNEEK VIHAR KATHUA",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SPRING DALE SCHOOL,,STATE BOARD,500,,,CANAL ROAD JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SPRING DALE SCHOOL KATHUA,,STATE BOARD,1400,,,main kathu,Jammu and Kashmir ,Kathua
41,RAKESH SHARMA ,ST. FRANCIS CONVENT,,STATE BOARD,2200,,,AKHNOOR MAIN JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,ST. PAUL SCHOOL,,STATE BOARD,1600,,,GANGYAL JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,ST. PEETER ,,STATE BOARD,1800,,,B C ROAD JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,ST. PETER HIGH SCHOOL(GROUP OF SCHOOLS),,STATE BOARD,2500,,,KARAN BAGH,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,ST. XAVIER CONVENT SCHOOL,,STATE BOARD,1200,,,BARNAI ROAD JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SUN SHINE SCHOOL R SPURA,,STATE BOARD,980,,,mussa chack ,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,VALLEY VIEW SCHOOLN,,STATE BOARD,1500,,,rajouri,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,VIVEK NIKTEN,,STATE BOARD,400,,,UDHAMPUR,Jammu and Kashmir ,Udhampur
41,RAKESH SHARMA ,WAZIR ZANKINATH SCHOOL ,,STATE BOARD,600,,,JAMMU,Jammu and Kashmir ,Jammu
